run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_03,suffix_only,0.9590000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_04,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_05,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_06,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_07,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_08,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_09,suffix_only,0.9560000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_10,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_11,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_12,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_13,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_14,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_15,suffix_only,0.9590000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_16,suffix_only,0.9560000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_17,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_18,suffix_only,0.9550000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
